Price,Adj Close,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,JNJ,PFE,JNJ,PFE,JNJ,PFE,JNJ,PFE,JNJ,PFE,JNJ,PFE
Date,,,,,,,,,,,,
2011-07-29,45.0174446105957,11.339166641235352,64.79000091552734,18.263757705688477,64.93000030517578,18.4914608001709,64.12999725341797,18.074003219604492,64.73999786376953,18.225805282592773,16829000,73232131
2011-08-01,44.75340270996094,11.197794914245605,64.41000366210938,18.036052703857422,65.33000183105469,18.462997436523438,63.65999984741211,17.78937339782715,65.27999877929688,18.44402313232422,15842200,57838250
2011-08-02,44.0724983215332,10.685324668884277,63.43000030517578,17.21062660217285,64.3499984741211,17.99810218811035,63.43000030517578,17.21062660217285,64.11000061035156,17.979127883911133,17118300,109434290
2011-08-03,44.05859375,10.738926887512207,63.40999984741211,17.10626220703125,63.529998779296875,17.23908805847168,61.86000061035156,16.840606689453125,63.369998931884766,17.096773147583008,17660300,68569024
2011-08-04,42.967735290527344,10.339866638183594,61.84000015258789,16.47058868408203,63.15999984741211,17.03984832763672,61.810001373291016,16.45161247253418,62.61000061035156,16.869070053100586,23485600,80391004
2011-08-05,43.57221221923828,10.417298316955566,62.709999084472656,16.59392738342285,63.43000030517578,16.812143325805664,61.04999923706055,16.157495498657227,62.119998931884766,16.603416442871094,24037800,91111554
2011-08-08,42.46745300292969,9.922938346862793,61.119998931884766,15.806451797485352,62.58000183105469,16.736242294311523,61.04999923706055,15.806451797485352,61.79999923706055,16.233396530151367,32423200,127628017
2011-08-09,43.21786117553711,10.48281478881836,62.20000076293945,16.698291778564453,62.369998931884766,16.717267990112305,59.08000183105469,15.777989387512207,61.709999084472656,16.148008346557617,36288000,122761488
2011-08-10,41.82822036743164,10.155226707458496,60.20000076293945,16.176471710205078,61.959999084472656,17.07779884338379,60.0099983215332,16.129032135009766,61.619998931884766,16.755218505859375,32688900,107214672
2011-08-11,44.07944107055664,10.607893943786621,63.439998626708984,16.897533416748047,64.19000244140625,17.08728790283203,60.130001068115234,16.176471710205078,60.18000030517578,16.31878662109375,33514400,87320738
2011-08-12,44.02384567260742,10.637673377990723,63.36000061035156,16.944971084594727,63.9900016784668,17.17267608642578,62.900001525878906,16.850095748901367,63.61000061035156,17.00189781188965,42324600,60513513
2011-08-15,44.87846755981445,10.923565864562988,64.58999633789062,17.400379180908203,64.62000274658203,17.447818756103516,63.61000061035156,17.07779884338379,63.849998474121094,17.248577117919922,39362000,53775502
2011-08-16,44.71867752075195,10.905701637268066,64.36000061035156,17.371917724609375,64.70999908447266,17.495256423950195,63.689998626708984,17.14421272277832,63.77000045776367,17.314990997314453,13142100,45084955
2011-08-17,44.64918518066406,11.012909889221191,64.26000213623047,17.542694091796875,64.8499984741211,17.647058486938477,63.79999923706055,17.409866333007812,64.55999755859375,17.476280212402344,11847600,47358750
2011-08-18,43.8848762512207,10.548332214355469,63.15999984741211,16.802656173706055,63.58000183105469,17.248577117919922,62.02000045776367,16.64136505126953,63.189998626708984,17.191650390625,23376400,77886489
2011-08-19,43.870994567871094,10.524506568908691,63.13999938964844,16.764705657958984,63.779998779296875,17.049335479736328,62.7400016784668,16.603416442871094,62.90999984741211,16.603416442871094,19394800,59438222
